,input,output,instruction,context,DistilBERT_pred,MobileBERT_pred
4007,"According shipping company Viking Line , the EU decision will have a significant financial impact .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: According shipping company Viking Line , the EU decision will have a significant financial impact .
Answer: ",neutral,neutral
4014,Earnings per share ( EPS ) amounted to a loss of to EUR0 .06 .,negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Earnings per share ( EPS ) amounted to a loss of to EUR0 .06 .
Answer: ",negative,neutral
4016,Expense ratio was 102.6 % compared to 92.9 % in the corresponding period in 2005 .,negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Expense ratio was 102.6 % compared to 92.9 % in the corresponding period in 2005 .
Answer: ",negative,neutral
4027,"Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008 .",negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008 .
Answer: ",negative,neutral
4029,"Myllykoski , with one paper plant in Finland , one in the US and three in Germany , had revenues of EUR286m in the first half of 2010 and an operating loss of EUR12m , Reuters said .",negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Myllykoski , with one paper plant in Finland , one in the US and three in Germany , had revenues of EUR286m in the first half of 2010 and an operating loss of EUR12m , Reuters said .
Answer: ",negative,neutral
4036,"Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008 .",negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008 .
Answer: ",negative,neutral
4042,Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .
Answer: ",negative,neutral
4045,"Publishing Sweden 's operating loss was EUR 1.1 mn in Q1 of 2009 , compared to a profit of EUR 0.6 mn a year ago .",negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Publishing Sweden 's operating loss was EUR 1.1 mn in Q1 of 2009 , compared to a profit of EUR 0.6 mn a year ago .
Answer: ",negative,neutral
4057,"Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006 .",negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006 .
Answer: ",negative,neutral
4061,"In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year .",negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year .
Answer: ",negative,neutral
4066,"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier .",negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Operating profit margin was 8.3 % , compared to 11.8 % a year earlier .
Answer: ",negative,neutral
4067,Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .
Answer: ",negative,neutral
4070,"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year .",negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year .
Answer: ",negative,neutral
4079,Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million .,positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million .
Answer: ",positive,neutral
4090,The planned ethanol and energy production plant can operate in correlation with a waste treatment unit or a paper mill .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The planned ethanol and energy production plant can operate in correlation with a waste treatment unit or a paper mill .
Answer: ",neutral,neutral
4093,"Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008 .",positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008 .
Answer: ",positive,neutral
4097,"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",positive,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .
Answer: ",positive,neutral
4107,The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .
Answer: ",neutral,neutral
4114,During the negotiations a reduction of 21 persons has taken place through natural redundancy or termination of fixed-term contracts .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: During the negotiations a reduction of 21 persons has taken place through natural redundancy or termination of fixed-term contracts .
Answer: ",neutral,neutral
4115,Elisa CEO Sami Seppanen said EMT 's slogan `` Best coverage across Estonia '' clearly gives misleading information to consumers .,negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Elisa CEO Sami Seppanen said EMT 's slogan `` Best coverage across Estonia '' clearly gives misleading information to consumers .
Answer: ",negative,neutral
4117,"In this case , the effect would be negative in Finland .",negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: In this case , the effect would be negative in Finland .
Answer: ",negative,neutral
4123,Olli-Pekka Kallasvuo was elected as vice chairman of the Board .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Olli-Pekka Kallasvuo was elected as vice chairman of the Board .
Answer: ",neutral,neutral
4129,"That 's what I go to bed worrying about every night , ' he said .",negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: That 's what I go to bed worrying about every night , ' he said .
Answer: ",negative,neutral
4131,The company initially estimated that it would cut up to 30 jobs .,negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The company initially estimated that it would cut up to 30 jobs .
Answer: ",negative,neutral
4132,"The company will try to adapt the operations through temporary lay-offs of different duration , working hour arrangements , training and development efforts .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The company will try to adapt the operations through temporary lay-offs of different duration , working hour arrangements , training and development efforts .
Answer: ",neutral,neutral
4134,The iPad application joins the iPhone app as part of Monster 's range of mobile applications for job hunting .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The iPad application joins the iPhone app as part of Monster 's range of mobile applications for job hunting .
Answer: ",neutral,neutral
4136,The number of bodily injury cases quadrupled in 2000-2006 .,negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The number of bodily injury cases quadrupled in 2000-2006 .
Answer: ",negative,neutral
4138,"The size of the extension , 18.5 % of which already has been let , will have a gross area of about 2,830 sq m 30,460 sq ft .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The size of the extension , 18.5 % of which already has been let , will have a gross area of about 2,830 sq m 30,460 sq ft .
Answer: ",neutral,neutral
4141,"The third applicant , Fortum , was dropped .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The third applicant , Fortum , was dropped .
Answer: ",neutral,neutral
4142,"Tieto 's service is also used to send , process and receive materials related to absentee voting .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Tieto 's service is also used to send , process and receive materials related to absentee voting .
Answer: ",neutral,neutral
4143,"Trading code : ELI1V Number of shares : 99,483 Price-share : Gratuitous After the transfer , Elisa holds a total of 10,435,023 own shares .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Trading code : ELI1V Number of shares : 99,483 Price-share : Gratuitous After the transfer , Elisa holds a total of 10,435,023 own shares .
Answer: ",neutral,neutral
4146,"`` Tweeple should check who 's following them , and be cautious when clicking on URLs and tinyurls . ''",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: `` Tweeple should check who 's following them , and be cautious when clicking on URLs and tinyurls . ''
Answer: ",neutral,neutral
4156,"Finnish Konecranes is again trying to acquire Italian Fantuzzi , a manufacturer of gantry cranes and reach stackers .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Finnish Konecranes is again trying to acquire Italian Fantuzzi , a manufacturer of gantry cranes and reach stackers .
Answer: ",neutral,neutral
4158,Finnish Nordic Aluminium is starting employer-employee negotiations in Finland that concern all staff groups .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Finnish Nordic Aluminium is starting employer-employee negotiations in Finland that concern all staff groups .
Answer: ",neutral,neutral
4164,"According to the prosecutor , the share transactions were carried out after HK Ruokatalo had proceeded in the negotiations concerning the acquisition of Swedish Meats .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: According to the prosecutor , the share transactions were carried out after HK Ruokatalo had proceeded in the negotiations concerning the acquisition of Swedish Meats .
Answer: ",neutral,neutral
4168,Among the biggest Christmas sellers were a  35 satin bow shift dress styled on outfits worn by Victoria Beckham and a  75 Paris Hilton Prom dress .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Among the biggest Christmas sellers were a  35 satin bow shift dress styled on outfits worn by Victoria Beckham and a  75 Paris Hilton Prom dress .
Answer: ",neutral,neutral
4171,Another problem is cola-flavoured long drinks .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Another problem is cola-flavoured long drinks .
Answer: ",neutral,neutral
4174,Applying for summer work is seen as laborious and stressful .,negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Applying for summer work is seen as laborious and stressful .
Answer: ",negative,neutral
4175,ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces .,negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces .
Answer: ",negative,neutral
4178,"As a result , it has started negotiations with the banks on provisional amendments concerning the covenants and other credit terms .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: As a result , it has started negotiations with the banks on provisional amendments concerning the covenants and other credit terms .
Answer: ",neutral,neutral
4185,Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .,negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .
Answer: ",negative,neutral
4186,"Cuts equivalent to the costs of about 35-45 employees are the target , the company said .",negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Cuts equivalent to the costs of about 35-45 employees are the target , the company said .
Answer: ",negative,neutral
4188,"Finland-based international machinery rental company Ramirent Plc ( OMX Helsinki : RMR1V ) said on Friday ( 9 May ) that its president and CEO , Kari Kallio , has informed the board of his intention to retire in year 2009 .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Finland-based international machinery rental company Ramirent Plc ( OMX Helsinki : RMR1V ) said on Friday ( 9 May ) that its president and CEO , Kari Kallio , has informed the board of his intention to retire in year 2009 .
Answer: ",neutral,neutral
4191,"Finnish Suominen Flexible Packaging Ltd , owned by local textile company Suominen Corporation Group ( HEL : SUY1V ) , said today that it would start employee negotiations concerning its entire personnel in Finland .",negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Finnish Suominen Flexible Packaging Ltd , owned by local textile company Suominen Corporation Group ( HEL : SUY1V ) , said today that it would start employee negotiations concerning its entire personnel in Finland .
Answer: ",negative,neutral
4199,"In addition , the production at the Varpaisj+â rvi factory will be stopped at the beginning of April 2009 .",negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: In addition , the production at the Varpaisj+â rvi factory will be stopped at the beginning of April 2009 .
Answer: ",negative,neutral
4201,"In December , Amer announced the dismissal of CEO Roger Talermo , who had headed the company since 2006 .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: In December , Amer announced the dismissal of CEO Roger Talermo , who had headed the company since 2006 .
Answer: ",neutral,neutral
4207,It is a disappointment to see the plan folded .,negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: It is a disappointment to see the plan folded .
Answer: ",negative,neutral
4214,Less than ten people will face pension agreements .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Less than ten people will face pension agreements .
Answer: ",neutral,neutral
4218,Managing Director Timo Kohtam+ñki of Lemmink+ñinen Infra nevertheless points out the continued need for infrastructure construction in the Baltic markets .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Managing Director Timo Kohtam+ñki of Lemmink+ñinen Infra nevertheless points out the continued need for infrastructure construction in the Baltic markets .
Answer: ",neutral,neutral
4219,"More than 14,000 customers were left powerless .",negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: More than 14,000 customers were left powerless .
Answer: ",negative,neutral
4223,"New Chairman of the Board of Directors , Mr Chaim Katzman , will give a presentation and answer questions .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: New Chairman of the Board of Directors , Mr Chaim Katzman , will give a presentation and answer questions .
Answer: ",neutral,neutral
4228,Rapala Fishing Frenzy 2009 .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Rapala Fishing Frenzy 2009 .
Answer: ",neutral,neutral
4233,Scanfil will execute the temporary lay-offs by mid-October 2009 and the job cuts by March 2010 .,negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Scanfil will execute the temporary lay-offs by mid-October 2009 and the job cuts by March 2010 .
Answer: ",negative,neutral
4238,SWOT analysis is just one method of categorization and has its own weaknesses .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: SWOT analysis is just one method of categorization and has its own weaknesses .
Answer: ",neutral,neutral
4245,"The company can be split into two parts over the coming months , with Essent owning and operating production and supply , and Enexis owning and operating the grid .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The company can be split into two parts over the coming months , with Essent owning and operating production and supply , and Enexis owning and operating the grid .
Answer: ",neutral,neutral
4249,"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , both in southwestern Finland , from where they will be delivered to VR for welding and assembly .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , both in southwestern Finland , from where they will be delivered to VR for welding and assembly .
Answer: ",neutral,neutral
4259,"The interim report for the first quarter is published on May 8 , 2009 .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The interim report for the first quarter is published on May 8 , 2009 .
Answer: ",neutral,neutral
4263,The measures result from weak demand in the shipbuilding industry .,negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The measures result from weak demand in the shipbuilding industry .
Answer: ",negative,neutral
4268,"The plant will be fired with a combination of spruce bark , chipped logging residues or milled peat .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The plant will be fired with a combination of spruce bark , chipped logging residues or milled peat .
Answer: ",neutral,neutral
4276,The share subscription period for C options will commence on 1 September 2008 and expire on 31 March 2011 .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The share subscription period for C options will commence on 1 September 2008 and expire on 31 March 2011 .
Answer: ",neutral,neutral
4282,They are also upset that some of the machinery and work is taken over to Poland .,negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: They are also upset that some of the machinery and work is taken over to Poland .
Answer: ",negative,neutral
4285,This is due to the postponement of the decision-making of projects in the negotiation phase from the earlier estimation .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: This is due to the postponement of the decision-making of projects in the negotiation phase from the earlier estimation .
Answer: ",neutral,neutral
4294,"`` Soon after , the collisions started . ''",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: `` Soon after , the collisions started . ''
Answer: ",neutral,neutral
4297,"`` There 's the issue of thieves stealing them from building sites , '' said Mr Smith .",negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: `` There 's the issue of thieves stealing them from building sites , '' said Mr Smith .
Answer: ",negative,neutral
4298,"`` We have a license agreement with Nokia Corp. which in part expires on April 9 , 2007 .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: `` We have a license agreement with Nokia Corp. which in part expires on April 9 , 2007 .
Answer: ",neutral,neutral
4312,Filmiteollisuus Fine Ab will be transferred to Talentum Oyj in the form of a subsidiary .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Filmiteollisuus Fine Ab will be transferred to Talentum Oyj in the form of a subsidiary .
Answer: ",neutral,neutral
4315,"He found him again , however , after the driver was involved in a two-car accident .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: He found him again , however , after the driver was involved in a two-car accident .
Answer: ",neutral,neutral
4329,"Most of the permanent layoffs will be in the plywood and sawn timber sectors of the Finnish company 's operations at several domestic mills , where earlier this year it temporarily laid off some 1,200 workers to save costs .",negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Most of the permanent layoffs will be in the plywood and sawn timber sectors of the Finnish company 's operations at several domestic mills , where earlier this year it temporarily laid off some 1,200 workers to save costs .
Answer: ",negative,neutral
4330,"Motorola , the world 's second-largest maker of cell phones , unveiled the new phone Tuesday in a bid to resurrect its ailing handset business .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Motorola , the world 's second-largest maker of cell phones , unveiled the new phone Tuesday in a bid to resurrect its ailing handset business .
Answer: ",neutral,neutral
4334,Rautaruukki aims to find work from the group 's other locations for those who have been made redundant .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Rautaruukki aims to find work from the group 's other locations for those who have been made redundant .
Answer: ",neutral,neutral
4341,"The deal covers Stockmann Auto Oy Ab 's sales and after-sales services concerning Volkswagen and Audi in Helsinki , Espoo and Vantaa .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The deal covers Stockmann Auto Oy Ab 's sales and after-sales services concerning Volkswagen and Audi in Helsinki , Espoo and Vantaa .
Answer: ",neutral,neutral
4346,"The employer , together with health personnel , supports quitting and pays part of the cost of nicotine treatments .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The employer , together with health personnel , supports quitting and pays part of the cost of nicotine treatments .
Answer: ",neutral,neutral
4350,"The floor area of the Yliopistonrinne project will be 7,900 sq m and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The floor area of the Yliopistonrinne project will be 7,900 sq m and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let .
Answer: ",neutral,neutral
4351,"The floor area of the Yliopistonrinne project will be 7,900 sq m 85,030 sq ft and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The floor area of the Yliopistonrinne project will be 7,900 sq m 85,030 sq ft and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let .
Answer: ",neutral,neutral
4357,The statutory negotiations at headquarters are part of this decrease .,neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The statutory negotiations at headquarters are part of this decrease .
Answer: ",neutral,neutral
4360,The total number of filling stations has been on the decrease recently .,negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: The total number of filling stations has been on the decrease recently .
Answer: ",negative,neutral
4363,"Unbelievably , the company that makes them - Fiskars Corporation - was formed in 1649 when a Dutch merchant named Peter Thorwoste was given a charter to establish a blast furnace and forging operation in the small Finnish village of Fiskars .",neutral,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: Unbelievably , the company that makes them - Fiskars Corporation - was formed in 1649 when a Dutch merchant named Peter Thorwoste was given a charter to establish a blast furnace and forging operation in the small Finnish village of Fiskars .
Answer: ",neutral,neutral
4364,"We have also cut our price projections for paper and packaging , '' an analyst with Goldman Sachs said on a note on Monday .",negative,What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.,"Instruction: What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}.
Input: We have also cut our price projections for paper and packaging , '' an analyst with Goldman Sachs said on a note on Monday .
Answer: ",negative,neutral
